Time,Freq_Dev_Area1,Freq_Dev_Area2,Mechanical_Power_Area1,Mechanical_Power_Area2,Rotor_Angle_Area1,Rotor_Angle_Area2,Tie_Line_Power,UPFC_Series_Voltage,UPFC_Shunt_Voltage,SVC_Susceptance,SSSC_Series_Voltage,STATCOM_Current,AGC_Control_Area1,AGC_Control_Area2,UPFC_Series_Control,UPFC_Shunt_Control,SVC_Control,SSSC_Control,STATCOM_Control
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,-0.0,-0.0,0.0,0.0,0.0,2.5,-0.0
0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.000625,0.0,0.0,0.12656561977865236,-0.875,0.0,-0.0,-0.0,0.0,0.0,0.5062624791146094,-3.0,-0.0
0.02,-6.25e-07,7.8125e-07,0.0,0.0,0.0,0.0,0.00018749999999999995,0.0,0.0,0.15961753113629448,1.0625,8.037890624999999e-05,-0.0,-0.0,0.0,0.0,0.25877326520922084,3.0,8.037890624999999e-05
0.03,-8.12e-07,1.01474609375e-06,6.7525e-06,-1.2188020833333337e-05,-3.926990816987242e-08,4.908738521234052e-08,0.0007187423359375,3.5156250000000003e-06,1.5625e-06,0.16925276275326645,-0.96875,0.0002190608196045018,0.000325125,-0.0007187812500000001,7.031250000000001e-06,3.125e-06,0.1981584576041824,-3.0,0.0002190608196045018
0.04,-1.5233402359375001e-06,1.8967973982747397e-06,2.3202173e-05,-2.781781557725695e-05,-9.028937286417067e-08,1.128457626800193e-07,0.00023436089579628906,1.9301464843749997e-06,1.639375e-06,0.17302481116750243,1.015625,0.0005916234718070365,0.0008129961499999999,-0.00093373976796875,3.446679687499995e-07,1.71625e-06,0.1843409564102104,3.0,0.0005916234718070365
0.05,-1.7332802865450393e-06,2.152842351475471e-06,4.934232240219376e-05,-5.6995852219223134e-05,-1.8600366274695052e-07,2.3202505811538242e-07,0.000742156686192667,7.10273422224935e-06,3.3985068398437504e-06,0.17532934793489355,-0.9921875,0.0013299744708561453,0.0012997428383909376,-0.001748151255722832,1.22753219601237e-05,5.1576386796875e-06,0.18224295823706693,-3.0,0.0013299744708561453
0.06,-2.4247080261062763e-06,3.006871446296866e-06,8.604688033970553e-05,-8.972582212769567e-05,-2.9490887504338866e-07,3.672921324300287e-07,0.00024604885955851205,4.3882559283642625e-06,3.483574006401661e-06,0.17726709370139512,1.00390625,0.002863448474446911,0.001849904613546882,-0.0019863485691039677,1.6737776344791758e-06,3.5686411729595713e-06,0.18308033100089982,3.0,0.002863448474446911
0.07,-2.582770238904198e-06,3.1988925127083024e-06,0.00013204630370043427,-0.00013530345749250907,-4.472577734817024e-07,5.562194373495317e-07,0.0007479767707063158,1.028775673473466e-05,5.190876563665275e-06,0.17911365541048163,-0.998046875,0.0057226914413314785,0.0023375238878540166,-0.00277627400087575,1.6187257541105056e-05,6.89817912092889e-06,0.1846533405377411,-3.0,0.0057226914413314785
0.08,-3.196634489718956e-06,3.961135400148764e-06,0.00018737140503555038,-0.0001831560926420798,-6.095380136507381e-07,7.572117817004877e-07,0.0002489321109010542,6.738339327980256e-06,5.159206456344175e-06,0.18093801699793127,1.0009765625,0.010890066601830256,0.002846645965678155,-0.002955279286263419,3.1889219212258523e-06,5.127536349023076e-06,0.18641110176028014,3.0,0.010890066601830256
0.09,-3.2556378879926846e-06,4.038899145647315e-06,0.00025013993988478596,-0.00024213863742678353,-8.103884822329947e-07,1.006097259160124e-06,0.0007493881206444824,1.2840670228684108e-05,6.701784610211347e-06,0.1827574203450763,-0.99951171875,0.019582255191794566,0.0032618654577029494,-0.0036587306133219234,1.894300112938796e-05,8.24436276407852e-06,0.18821563038651146,-3.0,0.019582255191794566
