scenario,controller,v_dev_max,v_dev_avg,pf_min,pf_avg,thd_max,thd_avg
load_step,PI,6.205633211138547,2.8933544509573084,0.99,0.9899999999999999,2.0,1.7851469467110908
load_step,LQR,10.73869498647204,10.636081936336758,0.9538234014441243,0.9542646428723504,1.925,1.4076959787601464
load_step,Fuzzy,7.588694986472035,5.048769377724025,0.99,0.9899999999999999,2.0,1.628766957520292
load_step,RMOMPC,10.888694986472046,7.9259453685196215,0.9516304881591346,0.9587279958224646,1.6437061863310893,1.4044452403496064
low_irradiance,PI,6.222980002799403,2.9017463777306847,0.99,0.9899999999999999,2.0,1.7845244052745617
low_irradiance,LQR,10.745866090423377,10.642505839837073,0.9538179217727522,0.9542595069116547,1.925,1.4076905737749832
low_irradiance,Fuzzy,7.595866090423371,5.048924762081918,0.99,0.9899999999999999,2.0,1.6287561475499654
low_irradiance,RMOMPC,10.895901633356402,7.82473036001743,0.9516304881591346,0.9578698804221105,1.4581784966179754,1.4017333150290443
high_harmonics,PI,7.0320070606780405,3.4528512520441086,0.99,0.9899999999999999,5.0,4.359012104562148
high_harmonics,LQR,11.23869498647204,11.141081936336759,0.9534595566908163,0.9538836528334482,4.8125,3.5183024469003645
high_harmonics,Fuzzy,7.295757214069071,4.660460491522541,0.9647151776468577,0.9649680258703885,5.0,4.1432977037642384
high_harmonics,RMOMPC,11.388694986472046,8.001967584488366,0.9516304881591346,0.9583910320316305,3.7053279484803565,3.5055117845122608
