Episode,Reward,Exploration_Rate
1,-0.14111099977079453,0.01
2,0.15789109224670964,0.01
3,0.031391769924212776,0.01
4,0.10367081238457199,0.01
5,-0.44676664400398197,0.01
6,0.44169299946606116,0.01
7,-0.07901137396725423,0.01
8,1.5185535045796876,0.01
9,-0.4372150683748461,0.01
10,1.7747102852834513,0.01
11,0.7146090216959154,0.01
12,1.570049989421765,0.01
13,-0.2680341580682936,0.01
14,-0.2190503166742361,0.01
15,-0.18175614678329144,0.01
16,0.06699360611962525,0.01
17,1.6405793520808054,0.01
18,0.1461437954146813,0.01
19,1.6016212033116468,0.01
20,1.6970546274403286,0.01
21,0.29658950610992263,0.01
22,1.6699906395562336,0.01
23,1.3787216489224128,0.01
24,1.7428680843441988,0.01
25,1.717503929490228,0.01
26,-0.5585714875205536,0.01
27,0.5574882544980623,0.01
28,-0.40676149636239023,0.01
29,-0.2875550358274784,0.01
30,-0.75064871830205,0.01
31,0.08720830035028773,0.01
32,-0.23285362934349235,0.01
33,1.6667869147062064,0.01
34,1.6137043286739128,0.01
35,-0.1875769167530072,0.01
36,-0.6013359579653396,0.01
37,1.6139683196491375,0.01
38,-0.4600949187454113,0.01
39,1.771889792347305,0.01
40,0.9520777848536727,0.01
41,1.6504409221324174,0.01
42,1.5972549884340261,0.01
43,1.6626950628172597,0.01
44,1.6105835332745908,0.01
45,-0.4490004429266108,0.01
46,1.5503139424968009,0.01
47,1.7380737685141279,0.01
48,1.5128530881197426,0.01
49,0.29342435410726886,0.01
50,1.57622181833387,0.01
51,0.2944268558019836,0.01
52,1.6289588351459034,0.01
53,0.04942343912235317,0.01
54,1.7113186340864448,0.01
55,1.6997360515469262,0.01
56,1.7123183785419593,0.01
57,0.009488437033803108,0.01
58,1.5724444425680322,0.01
59,1.6938295994820765,0.01
60,1.6803600499313356,0.01
61,1.5626163111844582,0.01
62,1.5705320279137813,0.01
63,1.7023544366347212,0.01
64,1.6473408239879959,0.01
65,1.6914705972933564,0.01
66,0.5837991962849003,0.01
67,1.683049016867179,0.01
68,0.4607665692155224,0.01
69,-0.21135796223845038,0.01
70,1.5560725954607315,0.01
71,1.6022958377641046,0.01
72,-0.7079538060528592,0.01
73,-0.19487953738275626,0.01
74,-0.4226623721062817,0.01
75,-0.33947361702791945,0.01
76,0.008986693576177984,0.01
77,1.2354941270928939,0.01
78,0.7356296769822046,0.01
79,0.7463492396818561,0.01
80,0.2071058223069283,0.01
81,1.590826438525505,0.01
82,-0.040030104241211784,0.01
83,1.6871039878789378,0.01
84,1.633439070419774,0.01
85,1.6569368002632368,0.01
86,1.2202368964863122,0.01
87,1.6123360570245844,0.01
88,1.6275094331517992,0.01
89,1.6348183518118715,0.01
90,1.6576776230739416,0.01
91,0.5074266693213282,0.01
92,1.6056087037380946,0.01
93,1.5863859428574858,0.01
94,1.7260730132270976,0.01
95,1.6308902850581557,0.01
96,1.312003896555884,0.01
97,1.692750270781924,0.01
98,1.6921957687323992,0.01
99,1.7145955180068668,0.01
100,1.6898063505389371,0.01
101,0.23694378998136417,0.01
102,1.5481975946086437,0.01
103,1.7183270142342186,0.01
104,1.6196835098288664,0.01
105,0.32116236794812936,0.01
106,0.33896095486807676,0.01
107,0.9881273435716363,0.01
108,0.5189055065533705,0.01
109,1.6146314897454304,0.01
110,1.639990369461181,0.01
111,1.535125049407787,0.01
112,1.6776794477658323,0.01
113,-0.8455167797775618,0.01
114,-0.6106447308745094,0.01
115,1.6018746846062042,0.01
116,0.8893677220333511,0.01
117,1.169016350637723,0.01
118,0.006024661991714864,0.01
119,0.3066571473872702,0.01
120,1.6217594096975887,0.01
121,-0.39493298863742954,0.01
122,1.6145740815928973,0.01
123,1.673499436813449,0.01
124,1.7258863890221474,0.01
125,1.7747316653848988,0.01
126,1.6773880966939043,0.01
127,0.9347234747595681,0.01
128,1.6152929655275108,0.01
129,0.5544389190798737,0.01
130,1.517404384048758,0.01
131,1.6287807076613576,0.01
132,1.5491786236720027,0.01
133,1.6129164416403,0.01
134,1.6003951354897556,0.01
135,1.6146391194255356,0.01
136,1.557210267852584,0.01
137,1.5952988613019845,0.01
138,1.0343031484344345,0.01
139,1.588587292673573,0.01
140,1.6238249318834963,0.01
141,0.9119843880052859,0.01
142,1.435071547933391,0.01
143,1.5940206304372064,0.01
144,1.0129194676841156,0.01
145,-0.2785717237520814,0.01
146,0.23560647840836302,0.01
147,1.149520864854471,0.01
148,1.6485848024593683,0.01
149,1.5270597910650132,0.01
150,0.7649866236250757,0.01
151,1.5427269121156293,0.01
152,1.6012988549998133,0.01
153,1.632772064646093,0.01
154,1.067686248956978,0.01
155,1.5394851230028601,0.01
156,1.5927854718534127,0.01
157,1.5942343245428796,0.01
158,0.2602825082774249,0.01
159,1.5006308277709701,0.01
160,-0.5154462281652022,0.01
161,1.639036445101001,0.01
162,1.6213614896072754,0.01
163,1.6258326635442055,0.01
164,-0.5829497806412722,0.01
165,1.61885737697942,0.01
166,1.5686570888356064,0.01
167,0.6589323780010748,0.01
168,-0.42504780073100057,0.01
169,1.699925606931345,0.01
170,1.6562266036604205,0.01
171,1.522101590713004,0.01
172,-0.8346500382634167,0.01
173,1.5327469715594126,0.01
174,1.6531599775775592,0.01
175,-0.21583837875239303,0.01
176,1.4767662014911567,0.01
177,1.6540935746203362,0.01
178,1.625220811177913,0.01
179,1.5379698127903354,0.01
180,1.6174063944257664,0.01
181,0.3637394751704135,0.01
182,1.3890544407647007,0.01
183,1.633808177576497,0.01
184,1.6173450809672203,0.01
