Metric,PI Area 1,ANFIS Area 1,PI Area 2,ANFIS Area 2
Max Overshoot (Hz),0.054600097846744175,0.03291959573479767,0.045725421082792435,0.018590227148301327
Max Undershoot (Hz),-0.014966161643967522,0.0,-0.015863893409080804,0.0
Settling Time (s),6.97,15.05,6.24,0.0
ITAE,3.181158327073952,4.08437748760204,2.8410439447170655,2.0160982530573444
ISE,0.013687692309817017,0.010221306948848282,0.009608641466854629,0.0029896334116015196
IAE,0.41106837121938516,0.4418852216281375,0.34686039977804456,0.23152557502661936
Std Deviation (Hz),0.020329408416547786,0.011123802195699885,0.017241558083768063,0.00633172695668544
