time,pi_freq_area1,pi_freq_area2,anfis_freq_area1,anfis_freq_area2,pi_control_area1,pi_control_area2,anfis_control_area1,anfis_control_area2,load_disturbance,wind_power,solar_power,tie_line_pi,tie_line_anfis
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.17000989531172853,-0.17000989531172853,-0.008716865427095117,0.4020902773878698,0.29966792102389156,0.0,0.0
0.01,0.00040487692510211566,0.00037806821092267176,0.0004064487101014174,0.00038003294217179895,-0.0010170508358565147,-0.0008737156354422944,-0.17473110487274784,-0.17443215886233462,0.0007698282395498333,0.4020888753373455,0.3002596863094109,0.0,0.0
0.02,0.0008010147002985587,0.0007460280108738521,0.0008078275123509068,0.0007545438785844436,-0.0020170074502512047,-0.0017282294834496214,-0.1791447246469055,-0.1785724202065382,-0.012835049060837324,0.4019098244998504,0.3018854721086338,5.36174283588878e-08,5.2831535859236906e-08
0.03,0.001211942938969847,0.0011348162962261138,0.00121467823736293,0.0011382344839708546,-0.0030588713621970635,-0.0026349255190183107,-0.18338343252968214,-0.18260433041718205,-0.012915242862956748,0.40179155897407876,0.2994482847464285,1.63590807208301e-07,1.593988033921634e-07
0.04,0.0016116952634926125,0.0015068267410210156,0.0016195789192565966,0.0015166801584148835,-0.0040775925166658894,-0.0035071246361978157,-0.1873824380270409,-0.18638609114100615,0.0035876342541091687,0.39994070954883826,0.3007112457854302,3.1784409269576717e-07,3.122863101763141e-07
0.05,0.0020017338941175447,0.0018706882046064487,0.0020118878204567706,0.0018833807866162832,-0.00507670989995763,-0.004364583572694983,-0.19106178181120745,-0.18987696015880906,-0.04082439062992954,0.4028895291864372,0.30224168695275283,5.275811376389611e-07,5.180838318597404e-07
0.06,0.002432900507956933,0.0022842934159108363,0.00242633967407355,0.002276096721472545,-0.0061838212406515845,-0.005341002786270093,-0.1947532538202748,-0.19343746850389776,-0.005980427820992518,0.40160013045309706,0.29919344399087927,7.896725166611531e-07,7.750978995407152e-07
0.07,0.0028354937555600756,0.002660094995221102,0.0028185972552190923,0.0026389890228292537,-0.007224330284726161,-0.006234607463631137,-0.1980733714162268,-0.19657342583588622,-0.014507423911273345,0.4009263219200707,0.2992519862539208,1.0868867007533466e-06,1.0755838047427255e-06
0.08,0.003232302305834615,0.0030297008918481663,0.003210585354419734,0.003002588487085474,-0.008255139288082525,-0.007118027735683714,-0.20123266214774954,-0.19957543704752367,-0.0035730361802149375,0.4050179979212578,0.301779728913916,1.4376842214312936e-06,1.434800269522403e-06
0.09,0.0036340196401017932,0.0034036145069797226,0.003597009657510322,0.0033574153816389295,-0.009303040859431693,-0.00801546881006307,-0.20420093986709267,-0.2023771569086174,0.05672026138458175,0.4015880732032227,0.30054818450955073,1.8428870494041907e-06,1.8507940041909233e-06
0.1,0.004014797398408351,0.003754236460934782,0.0039453949542248255,0.003667589169959287,-0.010303162823978987,-0.00886319590522999,-0.2067594253989162,-0.2047280692343702,-0.01660228873296324,0.40025748821294205,0.30086201445701627,2.303697315648332e-06,2.3299825559337086e-06
0.11,0.004419045625888398,0.004136393209156883,0.004324446441643323,0.004018309057728187,-0.011366811940189767,-0.009787656751441548,-0.20942317260829296,-0.20728133436645535,-0.0005641686804019885,0.4007495539890402,0.3005822752436983,2.8248191905954705e-06,2.885594124464786e-06
0.12,0.004817690450358619,0.0045107254977235795,0.004691099733532995,0.004352730488057205,-0.01242123628676962,-0.010698238995619908,-0.21188694913925263,-0.20961710445533727,-0.05336207125671782,0.4011310768452921,0.3001383125896531,3.390124024058501e-06,3.497868892295057e-06
0.13,0.005228555138249196,0.004899450550900616,0.005079514299182546,0.00471349407333581,-0.013511140668155053,-0.011646200573987001,-0.21438222422837716,-0.21203396432665336,0.05073412056815492,0.4015639692836091,0.300723798000112,4.00405392932858e-06,4.174607383246638e-06
