Controller,Scenario,Freq Nadir (Hz),Settling Time (s),ROCOF (Hz/s),IAE (Hz·s),ISE (Hz²·s),ITAE (Hz·s²)
CONVENTIONAL,S1 Load Step,-0.0504,26.19,0.0099,1.0531,0.0627,16.39
CONVENTIONAL,S2 Gen Loss,-0.0480,29.60,0.0149,0.7101,0.0386,12.06
MPC,S1 Load Step,0.0000,0.00,0.0000,0.0000,0.0000,0.00
MPC,S2 Gen Loss,0.0000,0.00,0.0000,0.0000,0.0000,0.00
DQN,S1 Load Step,-3.9801,29.90,3.3115,75.8786,228.8307,729.81
DQN,S2 Gen Loss,-0.0972,29.90,1.6766,9.6752,5.5634,49.91
ADAPTIVE,S1 Load Step,-0.0220,29.90,0.0099,0.2738,0.0052,3.84
ADAPTIVE,S2 Gen Loss,-0.0243,29.80,0.0149,0.2557,0.0056,4.36
